#------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2019 Update 1, MPI-1 part    
#------------------------------------------------------------
# Date                  : Thu Mar 21 08:19:48 2019
# Machine               : aarch64
# System                : Linux
# Release               : 4.12.14-25.22_5.0.70-cray_ari_c
# Version               : #1 SMP Tue Mar 5 00:08:48 UTC 2019 (bc16c54)
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 -mem 1.2 -npmin 64 PingPong Sendrecv Alltoallv Allgatherv 

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT 
# MPI_Op                         :   MPI_SUM  
# 
# 

# List of Benchmarks to run:

# PingPong
# Sendrecv
# Alltoallv
# Allgatherv

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
# ( 62 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.46         0.00
            1         1000         0.50         2.01
            2         1000         0.49         4.08
            4         1000         0.52         7.65
            8         1000         0.49        16.30
           16         1000         0.54        29.52
           32         1000         0.53        60.31
           64         1000         0.54       118.44
          128         1000         0.55       233.47
          256         1000         0.56       461.03
          512         1000         0.59       863.83
         1024         1000         0.68      1513.91
         2048         1000         0.81      2538.77
         4096         1000         1.09      3773.31
         8192         1000         1.99      4123.09
        16384         1000         2.38      6877.45
        32768         1000         3.51      9347.68
        65536          640         5.24     12517.57
       131072          320        11.57     11329.33
       262144          160        22.98     11406.09
       524288           80        43.84     11960.15
      1048576           40        85.00     12336.30
      2097152           20       169.11     12401.09
      4194304           10       357.17     11743.00

#-----------------------------------------------------------------------------
# Benchmarking Sendrecv 
# #processes = 64 
#-----------------------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]   Mbytes/sec
            0         1000         1.13         1.16         1.14         0.00
            1         1000         1.12         1.15         1.13         1.75
            2         1000         1.10         1.13         1.12         3.54
            4         1000         1.10         1.12         1.11         7.15
            8         1000         1.10         1.13         1.11        14.22
           16         1000         1.11         1.15         1.12        27.93
           32         1000         1.11         1.13         1.12        56.84
           64         1000         1.13         1.16         1.15       110.35
          128         1000         1.11         1.15         1.13       222.08
          256         1000         1.12         1.15         1.13       446.37
          512         1000         1.27         1.31         1.29       782.47
         1024         1000         1.41         1.44         1.43      1423.35
         2048         1000         1.64         1.67         1.65      2455.32
         4096         1000         2.34         2.39         2.36      3428.43
         8192         1000         4.07         4.12         4.09      3972.22
        16384         1000         5.06         5.14         5.10      6376.20
        32768         1000         6.80         6.92         6.86      9464.84
        65536          640        10.22        10.47        10.33     12522.47
       131072          320        24.49        25.61        25.00     10236.35
       262144          160        62.67        65.28        64.18      8031.49
       524288           80       122.35       128.32       124.81      8171.39
      1048576           40       449.73       522.66       494.14      4012.45
      2097152           20      1074.19      1286.34      1163.68      3260.65
      4194304           10      1970.41      3074.57      2394.92      2728.38

#----------------------------------------------------------------
# Benchmarking Alltoallv 
# #processes = 64 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         1.62         1.69         1.65
            1         1000        64.53        66.99        65.59
            2         1000        64.49        66.99        65.55
            4         1000        64.51        67.02        65.55
            8         1000        64.58        67.01        65.61
           16         1000        64.73        67.39        65.67
           32         1000        64.72        67.60        65.79
           64         1000        71.37        73.84        72.18
          128         1000        72.25        74.88        73.28
          256         1000        75.12        77.68        76.21
          512         1000        85.65        88.51        87.14
         1024         1000        98.81       102.25       100.90
         2048         1000       139.63       149.40       145.70
         4096         1000       251.63       265.99       256.77
         8192         1000       232.29       241.66       234.66
        16384         1000       888.80       955.18       928.26
        32768         1000      1935.27      2023.67      1973.21
        65536          640      3939.86      4063.95      3965.62
       131072          320      7939.40      8148.73      7987.03
       262144          160     15715.09     16247.45     15883.89
       524288           80     31341.74     32505.39     31686.89
      1048576            8     61656.45     65882.68     63221.50
      2097152            4    121708.93    131606.22    125999.61
      4194304            3    242956.16    258186.90    250679.01

#----------------------------------------------------------------
# Benchmarking Allgatherv 
# #processes = 64 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.50         0.52         0.51
            1         1000        12.08        15.06        13.38
            2         1000        12.21        15.33        13.57
            4         1000        12.29        15.43        13.64
            8         1000        12.69        15.56        13.97
           16         1000        13.65        16.74        14.92
           32         1000        14.49        18.04        15.98
           64         1000        14.75        20.81        17.98
          128         1000        17.11        28.87        20.54
          256         1000        22.96        34.86        27.12
          512         1000        31.90        47.14        39.63
         1024         1000        59.67        92.20        77.59
         2048         1000        89.39       117.24       103.55
         4096         1000       124.54       159.70       142.58
         8192         1000       312.76       361.40       336.50
        16384         1000       448.95       517.07       478.44
        32768         1000       854.52      1002.75       926.06
        65536          640      1605.22      1862.13      1729.32
       131072          320      3234.84      3744.98      3472.64
       262144          160      7289.97      8347.54      7790.21
       524288           80     16988.35     19120.03     18005.76
      1048576           40     36015.08     40422.41     37983.40
      2097152            8     76585.14     85994.60     80635.04
      4194304            5    151650.57    171411.85    161306.08


# All processes entering MPI_Finalize

Application 1084995 resources: utime ~2665s, stime ~1643s, Rss ~552812, inblocks ~0, outblocks ~0
