#------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2019 Update 1, MPI-1 part    
#------------------------------------------------------------
# Date                  : Thu Mar 21 08:35:03 2019
# Machine               : aarch64
# System                : Linux
# Release               : 4.12.14-25.22_5.0.70-cray_ari_c
# Version               : #1 SMP Tue Mar 5 00:08:48 UTC 2019 (bc16c54)
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 -mem 1.2 -npmin 128 PingPong Sendrecv Alltoallv Allgatherv 

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT 
# MPI_Op                         :   MPI_SUM  
# 
# 

# List of Benchmarks to run:

# PingPong
# Sendrecv
# Alltoallv
# Allgatherv

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
# ( 126 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.47         0.00
            1         1000         0.46         2.17
            2         1000         0.47         4.22
            4         1000         0.57         7.06
            8         1000         0.48        16.76
           16         1000         0.55        29.23
           32         1000         0.52        61.67
           64         1000         0.53       121.16
          128         1000         0.53       239.94
          256         1000         0.54       477.01
          512         1000         0.62       830.59
         1024         1000         0.65      1576.42
         2048         1000         0.78      2636.97
         4096         1000         1.06      3859.78
         8192         1000         4.07      2010.52
        16384         1000         4.32      3791.94
        32768         1000         4.78      6848.66
        65536          640         7.61      8610.75
       131072          320        13.22      9916.96
       262144          160        24.75     10589.73
       524288           80        44.94     11667.07
      1048576           40        86.98     12054.81
      2097152           20       169.80     12350.59
      4194304           10       361.99     11586.77

#-----------------------------------------------------------------------------
# Benchmarking Sendrecv 
# #processes = 128 
#-----------------------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]   Mbytes/sec
            0         1000         2.87         3.02         2.95         0.00
            1         1000         3.03         3.20         3.11         0.63
            2         1000         3.26         3.49         3.38         1.14
            4         1000         3.03         3.19         3.11         2.51
            8         1000         3.00         3.20         3.10         5.00
           16         1000         3.04         3.19         3.12        10.02
           32         1000         3.03         3.18         3.11        20.10
           64         1000         3.02         3.20         3.11        40.00
          128         1000         3.09         3.25         3.17        78.78
          256         1000         3.12         3.28         3.20       156.27
          512         1000         3.32         3.49         3.40       293.53
         1024         1000         3.97         4.22         4.10       484.92
         2048         1000         4.91         5.18         5.05       790.64
         4096         1000         6.84         7.27         7.06      1127.14
         8192         1000        10.54        10.87        10.69      1506.77
        16384         1000        12.84        13.18        13.01      2486.59
        32768         1000        19.00        19.51        19.26      3359.34
        65536          640        27.87        29.05        28.45      4512.21
       131072          320        50.07        54.21        52.14      4836.01
       262144          160        83.24        97.60        90.46      5371.66
       524288           80       135.15       191.50       163.46      5475.49
      1048576           40       398.03       528.86       474.66      3965.42
      2097152           20      1107.57      1268.10      1165.03      3307.55
      4194304           10      2062.37      2994.78      2359.91      2801.08

#----------------------------------------------------------------
# Benchmarking Alltoallv 
# #processes = 128 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000        11.32        11.51        11.41
            1         1000       398.90       399.88       399.60
            2         1000       369.24       370.20       369.93
            4         1000       357.12       358.20       357.78
            8         1000       386.61       387.50       387.23
           16         1000       312.98       314.01       313.63
           32         1000       278.65       280.01       279.55
           64         1000       287.62       288.62       288.35
          128         1000       387.46       388.44       388.20
          256         1000       441.21       442.23       441.99
          512         1000      1429.27      1430.54      1430.11
         1024         1000      2951.16      2953.46      2952.52
         2048         1000      4906.41      4907.59      4907.12
         4096         1000      7873.49      7875.82      7874.81
         8192          940     10629.20     10631.84     10630.50
        16384          530     18851.40     18854.17     18853.22
        32768          282     35417.64     35420.49     35418.71
        65536          146     68585.29     68588.56     68586.72
       131072           85    118700.02    118702.35    118700.97
       262144           45    227553.99    227556.02    227554.79
       524288           23    448407.04    448409.31    448407.96
      1048576            7    895841.80    895844.36    895843.11
      2097152            4   1796646.42   1796650.11   1796648.41
      4194304            2   3615924.00   3615928.65   3615926.46

#----------------------------------------------------------------
# Benchmarking Allgatherv 
# #processes = 128 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.73         0.84         0.74
            1         1000        20.26        23.05        21.41
            2         1000        20.59        23.43        21.78
            4         1000        20.88        23.70        22.16
            8         1000        21.39        24.88        23.30
           16         1000        23.16        27.20        25.57
           32         1000        26.29        31.69        29.21
           64         1000        33.12        55.54        38.16
          128         1000        44.22        67.01        50.31
          256         1000        59.23        84.72        67.64
          512         1000        94.59       130.84       116.73
         1024         1000       154.47       221.50       191.94
         2048         1000       324.21       482.27       405.71
         4096         1000       438.72       648.36       547.15
         8192         1000      1317.96      1565.09      1432.14
        16384         1000      1663.79      2002.06      1819.43
        32768         1000      2372.94      2828.25      2593.92
        65536          640      8508.87     10730.14      9626.03
       131072          320     13192.88     16498.86     14844.00
       262144          160     22483.90     27442.72     24993.72
       524288           80     41127.75     48976.21     44805.93
      1048576            8     83512.57     93092.02     86780.33
      2097152            5    168095.54    198813.39    183730.36
      4194304            3    327117.05    388641.20    358582.19


# All processes entering MPI_Finalize

Application 1084997 resources: utime ~21821s, stime ~5440s, Rss ~1101492, inblocks ~0, outblocks ~0
