#------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2019 Update 1, MPI-1 part    
#------------------------------------------------------------
# Date                  : Tue Mar 26 11:02:48 2019
# Machine               : aarch64
# System                : Linux
# Release               : 4.12.14-25.22_5.0.70-cray_ari_c
# Version               : #1 SMP Tue Mar 5 00:08:48 UTC 2019 (bc16c54)
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 -mem 1.2 -npmin 2048 PingPong Sendrecv Allgather Alltoall Allgatherv Alltoallv 

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT 
# MPI_Op                         :   MPI_SUM  
# 
# 

# List of Benchmarks to run:

# PingPong
# Sendrecv
# Allgather
# Alltoall
# Allgatherv
# Alltoallv

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
# ( 2046 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.49         0.00
            1         1000         0.49         2.03
            2         1000         0.52         3.86
            4         1000         0.52         7.65
            8         1000         0.51        15.84
           16         1000         0.58        27.57
           32         1000         0.56        57.48
           64         1000         0.57       113.22
          128         1000         0.57       226.05
          256         1000         0.57       445.35
          512         1000         0.61       841.49
         1024         1000         0.68      1497.29
         2048         1000         0.82      2501.44
         4096         1000         1.15      3546.99
         8192         1000         4.15      1974.98
        16384         1000         4.40      3727.87
        32768         1000         4.88      6719.25
        65536          640         7.55      8682.14
       131072          320        13.34      9827.49
       262144          160        25.02     10478.09
       524288           80        45.31     11570.00
      1048576           40        87.44     11991.95
      2097152           20       170.33     12312.13
      4194304           10       362.31     11576.47

#-----------------------------------------------------------------------------
# Benchmarking Sendrecv 
# #processes = 2048 
#-----------------------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]   Mbytes/sec
            0         1000         2.85         3.21         3.00         0.00
            1         1000         3.03         3.36         3.18         0.59
            2         1000         3.03         3.39         3.18         1.18
            4         1000         3.02         3.39         3.17         2.36
            8         1000         3.02         3.38         3.17         4.74
           16         1000         3.02         3.40         3.17         9.42
           32         1000         3.03         3.40         3.18        18.80
           64         1000         3.04         3.39         3.18        37.73
          128         1000         3.10         3.48         3.25        73.55
          256         1000         3.17         3.58         3.32       142.92
          512         1000         3.58         3.98         3.78       257.54
         1024         1000         3.61         3.97         3.76       515.97
         2048         1000         3.82         4.29         4.01       955.76
         4096         1000         5.02         8.09         6.75      1012.16
         8192         1000        10.29        11.24        10.70      1457.56
        16384         1000        13.11        13.71        13.34      2390.28
        32768         1000        18.76        19.62        19.13      3339.54
        65536          640        29.22        31.68        30.46      4137.73
       131072          320        50.67        58.90        54.71      4450.34
       262144          160        85.84       118.87       101.59      4410.67
       524288           80       134.32       222.94       176.45      4703.35
      1048576           40       388.47       579.79       486.95      3617.07
      2097152           20      1004.74      1429.52      1163.29      2934.06
      4194304           10      1927.92      3029.42      2356.61      2769.05

#----------------------------------------------------------------
# Benchmarking Allgather 
# #processes = 2048 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.27         0.42         0.28
            1         1000        44.84        65.77        56.67
            2         1000        53.75        76.62        66.32
            4         1000        65.98       111.82        82.87
            8         1000        75.33       132.71        98.88
           16         1000        82.88       178.18       125.86
           32         1000       154.57       234.12       190.90
           64         1000       241.05       388.19       304.96
          128         1000       401.92       665.50       516.78
          256         1000       726.94      1225.03       940.87
          512         1000      1382.68      2364.49      1802.18
         1024         1000      2780.08      5064.22      3779.93
         2048         1000      5426.03      9286.14      7416.60
         4096          514     10652.37     18985.09     15174.74
         8192          102     94632.38     98230.85     96536.35
        16384           91    104751.72    108979.00    106630.35
        32768           76    124805.55    129030.41    126727.67
        65536            9    168812.96    173610.69    171158.66
       131072            5    253700.35    266935.11    260083.82
       262144            2    430972.93    453111.17    441917.08
       524288            2    819000.24    868945.60    846887.71
      1048576 out-of-mem.; needed X=   2.002 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      2097152 out-of-mem.; needed X=   4.003 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      4194304 out-of-mem.; needed X=   8.005 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Alltoall 
# #processes = 2048 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.27         0.42         0.29
            1         1000       631.96       732.70       673.34
            2         1000       663.77       769.97       711.36
            4         1000       779.23      1073.81       938.16
            8         1000      1184.57      1841.84      1625.98
           16         1000      1545.26      3245.40      2659.96
           32         1000      6378.54      6380.43      6379.63
           64         1000      8632.05      8637.75      8634.39
          128          434     23138.01     23144.09     23140.79
          256          211     47005.65     47014.64     47010.18
          512          135     73843.02     73851.29     73847.23
         1024           90    111803.45    111810.73    111807.46
         2048           62    162366.12    162379.49    162372.52
         4096           34    297671.31    297691.63    297684.30
         8192           19    547603.21    547626.55    547614.97
        16384           10    991746.54    991785.36    991765.34
        32768            6   1700043.64   1700085.00   1700065.40
        65536            3   3194213.15   3194259.80   3194241.28
       131072            2   6394108.30   6394171.83   6394144.73
       262144            1  12811886.55  12811952.35  12811920.73
       524288 out-of-mem.; needed X=   2.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      1048576 out-of-mem.; needed X=   4.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      2097152 out-of-mem.; needed X=   8.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      4194304 out-of-mem.; needed X=  16.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Allgatherv 
# #processes = 2048 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         6.86         7.59         6.89
            1         1000       158.86       182.71       171.99
            2         1000       169.37       195.43       183.65
            4         1000       176.82       224.71       194.50
            8         1000       194.52       251.74       217.60
           16         1000       200.73       295.23       244.34
           32         1000       277.60       360.72       315.88
           64         1000       365.75       514.20       431.26
          128         1000       552.65       818.99       668.51
          256         1000       926.42      1426.95      1141.93
