#------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2019 Update 1, MPI-1 part    
#------------------------------------------------------------
# Date                  : Thu Mar 21 08:50:00 2019
# Machine               : aarch64
# System                : Linux
# Release               : 4.12.14-25.22_5.0.70-cray_ari_c
# Version               : #1 SMP Tue Mar 5 00:08:48 UTC 2019 (bc16c54)
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 -mem 1.2 -npmin 256 PingPong Sendrecv Allgather Alltoall Allgatherv Alltoallv 

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT 
# MPI_Op                         :   MPI_SUM  
# 
# 

# List of Benchmarks to run:

# PingPong
# Sendrecv
# Allgather
# Alltoall
# Allgatherv
# Alltoallv

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
# ( 254 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.49         0.00
            1         1000         0.50         2.02
            2         1000         0.51         3.95
            4         1000         0.53         7.52
            8         1000         0.51        15.70
           16         1000         0.58        27.79
           32         1000         0.56        57.58
           64         1000         0.56       114.40
          128         1000         0.58       221.53
          256         1000         0.57       447.77
          512         1000         0.61       842.48
         1024         1000         0.72      1429.51
         2048         1000         0.82      2495.99
         4096         1000         1.12      3652.96
         8192         1000         4.18      1961.84
        16384         1000         4.40      3720.40
        32768         1000         4.84      6768.89
        65536          640         7.80      8407.06
       131072          320        13.27      9879.09
       262144          160        25.03     10474.34
       524288           80        45.36     11557.84
      1048576           40        87.26     12017.34
      2097152           20       170.42     12305.67
      4194304           10       359.77     11658.17

#-----------------------------------------------------------------------------
# Benchmarking Sendrecv 
# #processes = 256 
#-----------------------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]   Mbytes/sec
            0         1000         2.85         3.06         2.97         0.00
            1         1000         3.00         3.20         3.11         0.62
            2         1000         2.98         3.20         3.10         1.25
            4         1000         3.01         3.21         3.11         2.50
            8         1000         3.00         3.19         3.10         5.02
           16         1000         3.00         3.20         3.11         9.99
           32         1000         2.99         3.20         3.10        20.01
           64         1000         3.02         3.22         3.12        39.79
          128         1000         3.08         3.28         3.17        78.12
          256         1000         3.10         3.32         3.22       154.01
          512         1000         3.30         3.51         3.41       291.88
         1024         1000         3.97         4.47         4.21       458.20
         2048         1000         4.90         5.27         5.08       777.40
         4096         1000         6.85         7.38         7.11      1110.35
         8192         1000        10.55        10.98        10.74      1492.54
        16384         1000        13.03        13.49        13.25      2429.80
        32768         1000        19.38        19.92        19.65      3289.71
        65536          640        30.56        31.90        31.23      4109.46
       131072          320        49.84        54.00        51.93      4854.89
       262144          160        83.91        98.58        91.17      5318.39
       524288           80       135.10       191.20       163.15      5484.10
      1048576           40       400.06       525.94       479.29      3987.44
      2097152           20      1021.66      1388.49      1161.31      3020.77
      4194304           10      2049.85      2995.44      2360.34      2800.46

#----------------------------------------------------------------
# Benchmarking Allgather 
# #processes = 256 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.27         0.36         0.28
            1         1000        15.50        19.93        17.45
            2         1000        16.32        20.72        18.27
            4         1000        16.88        22.77        20.03
            8         1000        18.52        25.50        22.42
           16         1000        21.82        31.83        27.60
           32         1000        28.72        53.82        35.95
           64         1000        37.76        66.22        47.55
          128         1000        52.81        80.84        64.55
          256         1000        86.36       134.59       113.15
          512         1000       142.70       232.94       190.08
         1024         1000       243.80       402.46       327.55
         2048         1000       796.03       957.48       880.48
         4096         1000      1094.47      1314.90      1209.58
         8192          840      8752.46     11879.69     10553.82
        16384          744      9869.39     13227.88     11807.97
        32768          619     14172.35     15930.99     15020.60
        65536          466     19086.67     21376.98     20211.97
       131072          311     28702.99     31824.84     30267.66
       262144          160     48647.24     53601.52     51098.58
       524288            9     92587.92    104035.32     97416.76
      1048576            5    178171.83    196415.09    184119.96
      2097152            3    362179.20    399262.59    380903.20
      4194304            2   9021358.97  10029049.04   9709379.92

#----------------------------------------------------------------
# Benchmarking Alltoall 
# #processes = 256 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.27         0.37         0.28
            1         1000        95.83       118.73       109.10
            2         1000        98.77       123.74       113.30
            4         1000       104.77       133.09       120.92
            8         1000       110.00       146.17       129.48
           16         1000       135.74       198.79       164.36
           32         1000       184.27       280.37       247.20
           64         1000       431.94       700.91       614.28
          128         1000       801.24       802.35       801.91
          256         1000      2968.12      2970.31      2969.46
          512         1000      6908.66      6911.02      6910.13
         1024          909     11055.76     11057.30     11056.79
         2048          652     15252.67     15254.08     15253.52
         4096          403     24881.55     24883.31     24882.64
         8192          256     38803.18     38806.82     38805.08
        16384          145     68347.14     68350.85     68349.17
        32768           80    124583.82    124587.34    124585.61
        65536           44    225153.36    225156.80    225155.10
       131072           22    462720.32    462724.97    462722.96
       262144           10    924042.03    924046.92    924044.58
       524288            5   1858673.05   1858677.82   1858675.29
      1048576            3   3719004.31   3719010.35   3719007.44
      2097152            2   7465191.48   7465202.45   7465197.27
      4194304 out-of-mem.; needed X=   2.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Allgatherv 
# #processes = 256 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         1.13         1.28         1.14
            1         1000        28.30        32.77        30.44
            2         1000        29.15        33.50        31.28
            4         1000        29.80        35.47        32.92
            8         1000        31.78        38.77        35.67
           16         1000        35.22        45.96        41.29
           32         1000        42.78        67.86        50.11
           64         1000        53.16        80.98        63.00
          128         1000        71.68       100.71        83.96
          256         1000       112.72       162.93       140.99
          512         1000       181.37       268.30       228.54
         1024         1000       307.85       467.60       392.66
         2048         1000       809.67       968.13       892.07
         4096         1000      1107.15      1329.25      1222.93
         8192          817     10790.39     12168.55     11470.05
        16384          714     12226.37     13771.32     12973.54
        32768          612     14556.03     16325.37     15432.18
        65536          451     19808.58     22290.57     21028.43
       131072          294     30368.78     33971.48     32120.26
       262144          160     50696.73     56041.37     53409.47
       524288            9     92289.82    104854.82     98124.12
      1048576            5    181497.96    200826.50    190278.24
      2097152            3    364482.48    403193.71    382571.09
