#------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2019 Update 1, MPI-1 part    
#------------------------------------------------------------
# Date                  : Thu Mar 21 09:38:41 2019
# Machine               : aarch64
# System                : Linux
# Release               : 4.12.14-25.22_5.0.70-cray_ari_c
# Version               : #1 SMP Tue Mar 5 00:08:48 UTC 2019 (bc16c54)
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 -mem 1.2 -npmin 512 PingPong Sendrecv Allgather Alltoall Allgatherv Alltoallv 

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT 
# MPI_Op                         :   MPI_SUM  
# 
# 

# List of Benchmarks to run:

# PingPong
# Sendrecv
# Allgather
# Alltoall
# Allgatherv
# Alltoallv

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
# ( 510 additional processes waiting in MPI_Barrier)
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.49         0.00
            1         1000         0.50         2.01
            2         1000         0.51         3.94
            4         1000         0.53         7.62
            8         1000         0.53        15.19
           16         1000         0.57        28.17
           32         1000         0.56        57.09
           64         1000         0.57       112.79
          128         1000         0.57       225.53
          256         1000         0.59       436.39
          512         1000         0.61       843.47
         1024         1000         0.70      1461.37
         2048         1000         0.83      2474.77
         4096         1000         1.10      3724.63
         8192         1000         4.18      1957.71
        16384         1000         4.50      3637.97
        32768         1000         4.94      6638.44
        65536          640         7.27      9017.93
       131072          320        13.30      9854.74
       262144          160        25.26     10379.79
       524288           80        45.46     11532.46
      1048576           40        87.43     11993.99
      2097152           20       169.19     12395.41
      4194304           10       361.61     11598.99

#-----------------------------------------------------------------------------
# Benchmarking Sendrecv 
# #processes = 512 
#-----------------------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]   Mbytes/sec
            0         1000         2.86         3.16         2.99         0.00
            1         1000         3.00         3.33         3.14         0.60
            2         1000         3.01         3.52         3.34         1.14
            4         1000         3.02         3.31         3.15         2.42
            8         1000         3.02         3.33         3.15         4.80
           16         1000         3.01         3.34         3.15         9.59
           32         1000         3.03         3.37         3.16        19.00
           64         1000         3.03         3.35         3.16        38.17
          128         1000         3.08         3.39         3.21        75.43
          256         1000         3.11         3.44         3.25       148.99
          512         1000         3.31         3.68         3.46       278.10
         1024         1000         3.97         4.40         4.16       465.23
         2048         1000         4.90         5.37         5.12       762.16
         4096         1000         6.85         7.84         7.31      1044.69
         8192         1000        10.65        11.70        11.03      1400.61
        16384         1000        13.10        13.77        13.35      2378.82
        32768         1000        18.72        19.46        19.05      3367.53
        65536          640        29.24        31.22        30.31      4197.86
       131072          320        50.23        56.99        53.59      4599.93
       262144          160        82.83       108.10        94.84      4850.07
       524288           80       135.33       215.83       174.28      4858.31
      1048576           40       428.22       579.94       493.63      3616.18
      2097152           20      1012.74      1392.17      1161.52      3012.77
      4194304           10      2007.37      3003.55      2358.50      2792.90

#----------------------------------------------------------------
# Benchmarking Allgather 
# #processes = 512 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.27         0.37         0.28
            1         1000        20.30        26.53        23.39
            2         1000        21.49        28.90        25.42
            4         1000        22.98        32.13        28.25
            8         1000        26.99        39.90        34.22
           16         1000        31.50        66.56        45.33
           32         1000        41.03        84.72        58.91
           64         1000        56.07       109.11        80.58
          128         1000       110.30       161.24       134.86
          256         1000       177.70       272.61       221.28
          512         1000       299.15       469.27       376.63
         1024         1000       540.22       863.18       685.59
         2048         1000      1783.57      2010.69      1887.82
         4096         1000      2481.11      2794.82      2625.19
         8192          413     20080.09     24275.90     22855.84
        16384          364     25341.62     26943.01     26112.40
        32768          303     30127.18     32215.99     31094.62
        65536          230     40120.49     42860.31     41417.53
       131072          152     60098.56     64669.95     62372.74
       262144            9    104046.03    113713.18    108866.95
       524288            5    194294.79    210098.74    201079.54
      1048576            2    368340.97    407932.04    386682.80
      2097152            2    765749.34    831114.41    791638.36
      4194304 out-of-mem.; needed X=   2.005 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Alltoall 
# #processes = 512 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         0.26         0.37         0.28
            1         1000       184.35       222.03       210.04
            2         1000       194.48       240.09       225.94
            4         1000       208.01       270.43       250.71
            8         1000       243.28       346.54       304.87
           16         1000       335.37       502.89       431.17
           32         1000       702.13      1128.98       985.89
           64         1000      1215.39      1217.68      1216.49
          128         1000      3298.97      3301.32      3300.04
          256         1000      9660.03      9662.24      9661.18
          512          603     16711.72     16713.57     16712.76
         1024          395     25234.49     25238.85     25236.90
         2048          291     34339.53     34342.39     34341.10
         4096          169     59191.72     59196.38     59193.68
         8192          108     92280.27     92286.16     92283.00
        16384           62    161718.62    161725.51    161721.42
        32768           32    319277.80    319283.46    319280.57
        65536           17    588711.00    588715.15    588712.83
       131072            8   1189273.06   1189287.66   1189278.80
       262144            4   2365304.71   2365322.05   2365312.16
       524288            2   4729673.62   4729691.03   4729681.82
      1048576            1   9476786.14   9476810.46   9476797.66
      2097152 out-of-mem.; needed X=   2.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)
      4194304 out-of-mem.; needed X=   4.001 GB; use flag "-mem X" or MAX_MEM_USAGE>=X (IMB_mem_info.h)

#----------------------------------------------------------------
# Benchmarking Allgatherv 
# #processes = 512 
#----------------------------------------------------------------
       #bytes #repetitions  t_min[usec]  t_max[usec]  t_avg[usec]
            0         1000         1.94         2.13         1.96
            1         1000        44.76        51.29        48.10
            2         1000        46.45        54.08        50.48
            4         1000        47.82        57.29        53.10
            8         1000        52.50        65.42        59.77
           16         1000        57.51        94.45        71.83
           32         1000        68.84       111.95        87.20
           64         1000        85.43       139.64       110.15
          128         1000       148.10       199.09       173.81
          256         1000       226.82       321.10       270.98
          512         1000       373.95       545.61       453.08
         1024         1000       665.48       987.35       812.00
         2048         1000      1818.37      2049.28      1921.27
         4096         1000      2507.28      2819.51      2651.90
         8192          409     22845.83     24496.67     23612.65
        16384          360     25706.45     27503.10     26537.78
        32768          300     30562.89     32550.36     31530.63
        65536          219     42556.81     45268.28     43862.32
